Metric,count,mean,std,min,25%,50%,75%,max
Interested,85.0,3.458823529411765,1.075184825489825,1.0,3.0,4.0,4.0,5.0
Distressed,85.0,2.776470588235294,1.3307397744634133,1.0,2.0,3.0,4.0,5.0
Upset,85.0,2.3529411764705883,1.2882794206018422,1.0,1.0,2.0,3.0,5.0
Strong,85.0,3.0470588235294116,1.0107267818015808,1.0,2.0,3.0,4.0,5.0
Guilty,84.0,1.9523809523809523,1.3254211597515537,1.0,1.0,1.0,3.0,5.0
Scared,85.0,2.070588235294118,1.4208333846735166,1.0,1.0,1.0,3.0,5.0
Hostile ,85.0,1.9058823529411764,1.2967315084634974,1.0,1.0,1.0,2.0,5.0
Enthusiastic,85.0,3.388235294117647,0.9770475161114203,1.0,3.0,3.0,4.0,5.0
Proud,85.0,3.070588235294118,1.0887764571616472,1.0,2.0,3.0,4.0,5.0
Irritable,85.0,2.5764705882352943,1.312725904261772,1.0,2.0,2.0,3.0,5.0
Alert,85.0,2.9529411764705884,1.056790765804223,1.0,2.0,3.0,4.0,5.0
Inspired,84.0,3.0952380952380953,1.1152723760356191,1.0,2.0,3.0,4.0,5.0
Nervous,84.0,2.7976190476190474,1.1799506004031919,1.0,2.0,3.0,4.0,5.0
Determined ,85.0,3.4823529411764707,1.04211054968228,1.0,3.0,3.0,4.0,5.0
Attentive,84.0,3.2023809523809526,1.0387638843084892,1.0,3.0,3.0,4.0,5.0
Jittery,84.0,2.1785714285714284,1.2336713186855452,1.0,1.0,2.0,3.0,5.0
Active ,85.0,3.0588235294117645,1.2086291051126854,1.0,2.0,3.0,4.0,5.0
Afraid ,85.0,2.164705882352941,1.4462353330822277,1.0,1.0,2.0,3.0,5.0
